"street","city","zip","state"
"7536  WYNNDEL WAY","ELK GROVE","95758","CA"
"3337  PARKSIDE DR","ROCKLIN","95677","CA"
"4537  BELA WAY","CARMICHAEL","95608","CA"
"612  MOREY AVE","SACRAMENTO","95838","CA"
"1386  KATIE LN","PLACERVILLE","95667","CA"
"9458  MARIUS WAY","SACRAMENTO","95829","CA"
"9362  MARLEMONT CIR","ELK GROVE","95758","CA"
"5354  DONLYN PL","ANTELOPE","95843","CA"
"5752  TERRACE DR","ROCKLIN","95765","CA"
"6625  WOODENFIELD CT","SACRAMENTO","95841","CA"
"7935  TIERRA WOOD WAY","SACRAMENTO","95828","CA"
"2826  JIM VALLEY RD","PLACERVILLE","95667","CA"
"307  BREWSTER AVE","SACRAMENTO","95831","CA"
"180  ELECTRIC ST","AUBURN","95603","CA"
"5987  LAIRD RD","LOOMIS","95650","CA"
"1103  COLOMA WAY","ROSEVILLE","95661","CA"
"7800  NEAL ST","FAIR OAKS","95628","CA"
"5667  VISTA AVE","SACRAMENTO","95824","CA"
"7954  BUCKS HARBOR WAY","SACRAMENTO","95828","CA"
"7155  BELL RIVER WAY","SACRAMENTO","95831","CA"
"7700  SHEEPHERDER RIDGE RD","KELSEY","95667","CA"
"7279  RUSH RIVER DR","SACRAMENTO","95831","CA"
"7763  DERSINGHAM DR","SACRAMENTO","95829","CA"
"3516  SUN KNOLL DR","LOOMIS","95650","CA"
"2743  42ND ST","SACRAMENTO","95817","CA"
"12  NAPLES CT","SACRAMENTO","95831","CA"
"8972  CARLISLE AVE","SACRAMENTO","95829","CA"
"4926  EL CID DR","ROCKLIN","95677","CA"
"7645  SWEETBRIER WAY","SACRAMENTO","95832","CA"
"3708  DIDCOT CIR","SACRAMENTO","95838","CA"
"5978  MARLIN CIR","CARMICHAEL","95608","CA"
"4618  GOYA PKWY","SACRAMENTO","95823","CA"
"8312  MADISON AVE","FAIR OAKS","95628","CA"
"8629  BREANNA CT","SACRAMENTO","95828","CA"
"5137  DRY CREEK RD","SACRAMENTO","95838","CA"
"3355  WESTERN AVE","SACRAMENTO","95838","CA"
"2817  LOYAL LN","POLLOCK PINES","95726","CA"
"11150  TRINITY RIVER DR Unit 60","RANCHO CORDOVA","95670","CA"
"8036  DUSENBERG CT","SACRAMENTO","95828","CA"
"7330  STRATFORD PL Unit 707","SACRAMENTO","95842","CA"
"7573  SKELTON WAY","SACRAMENTO","95822","CA"
"5170  GOLDEN ASPEN DR","GRIZZLY FLATS","95636","CA"
"2952  CALLE DEL SOL WAY","RANCHO CORDOVA","95670","CA"
"4800  WESTLAKE PKWY Unit 1910","SACRAMENTO","95835","CA"
"1066  STATE HIGHWAY 49","PLACERVILLE","95667","CA"
"3968  DEERBROOK DR","SACRAMENTO","95823","CA"
"7722  MILLDALE CIR","ELVERTA","95626","CA"
"3901  WESTPORTER DR","SACRAMENTO","95826","CA"
"7795  LARAMORE WAY","SACRAMENTO","95832","CA"
"5317  MARTIN LUTHER KING JR BLVD","SACRAMENTO","95820","CA"
"501  ROUNDTREE CT","SACRAMENTO","95831","CA"
"7  DEROW CT","SACRAMENTO","95833","CA"
"1040  ARCADE BLVD","SACRAMENTO","95815","CA"
"2949  WESTON WAY","RANCHO CORDOVA","95670","CA"
"9075  MONTOYA ST Unit 3","SACRAMENTO","95826","CA"
"3541  33RD ST","SACRAMENTO","95817","CA"
"6269  LONGFORD DR","CITRUS HEIGHTS","95621","CA"
"4521  PALM AVE Unit 2","SACRAMENTO","95842","CA"
"4408  11TH AVE","SACRAMENTO","95820","CA"
"305  WISCONSIN AVE","SACRAMENTO","95833","CA"
"3175  GLENWOOD CT","MEADOW VISTA","95722","CA"
"751  LAUREL DR","SACRAMENTO","95864","CA"
"7935  SHELBORNE DR","GRANITE BAY","95746","CA"
"9213  VISTA RAVINE CT","LOOMIS","95650","CA"
"1955  MARCONI WAY","SOUTH LAKE TAHOE","96150","CA"
"9675  FLORIN RD","SACRAMENTO","95829","CA"
"14450  HAYCOCK ST","SLOUGHHOUSE","95683","CA"
"4555  MULETAIL","CARNELIAN BAY","96140","CA"
"10273  SADDLE CREEK DR","SACRAMENTO","95829","CA"
"425  OLIVE ORCHARD DR","AUBURN","95603","CA"
"5850  LONE STAR OAKS CT","AUBURN","95602","CA"
"725  CHESTERFIELD WAY","ROCKLIN","95765","CA"
"716  CHESTERFIELD WAY","ROCKLIN","95765","CA"
"9634  HALLI WAY","ELK GROVE","95624","CA"
"8720  POTTS CT","ORANGEVALE","95662","CA"
"5301  JILSON WAY","ELK GROVE","95757","CA"
"1129  BOXELDER CIR","FOLSOM","95630","CA"
"3490  SMOKEY MOUNTAIN CIR","EL DORADO HILLS","95762","CA"
"1234  COMMONS DR","SACRAMENTO","95825","CA"
"5213  SPANISH DRY DIGGINS RD","GREENWOOD","95635","CA"
"1241  Q ST","SACRAMENTO","95814","CA"
"1202  REED DR","DAVIS","95616","CA"
"501  WOBURN CT","GRANITE BAY","95746","CA"
"641  ALISO VIEJO CT","ROSEVILLE","95747","CA"
"2264  HERITAGE DR","ROSEVILLE","95678","CA"
"5739  STATE AVE","SACRAMENTO","95819","CA"
"516  HEATHER FALLS CT","ROSEVILLE","95678","CA"
"3074  SOUTHCREEK DR","LINCOLN","95648","CA"
"2051  BEAR ROCK RD","PLACERVILLE","95667","CA"
"9642  CEDAR POND PL","ELK GROVE","95757","CA"
"4731  DEL RIO RD","SACRAMENTO","95822","CA"
"506  WOOL ST","FOLSOM","95630","CA"
"5000  EL DON DR","ROCKLIN","95677","CA"
"2320  JUNE MOUNTAIN CT","ROCKLIN","95765","CA"
"1284  PROSPECTOR TRL","SOUTH LAKE TAHOE","96150","CA"
"400  HANSEN CIR","FOLSOM","95630","CA"
"394  CAMELIA RIVER WAY","SACRAMENTO","95831","CA"
"9936  FIRSTONE DR","SACRAMENTO","95829","CA"
"3556  43RD ST","SACRAMENTO","95817","CA"
"2737  BEDFORD AVE","PLACERVILLE","95667","CA"
"3261  SUNSET TER","AUBURN","95602","CA"
"8845  WINDING WAY","FAIR OAKS","95628","CA"
"804  BUSSING CT","FOLSOM","95630","CA"
"5340  BUCKWOOD WAY","SACRAMENTO","95835","CA"
"5442  BOSWELL WAY","SACRAMENTO","95835","CA"
"2823  CATALINA DR","ROCKLIN","95765","CA"
"1026  KENSINGTON DR","ROSEVILLE","95661","CA"
"513  HYDRANGEA CT","ROSEVILLE","95747","CA"
"2922  DENISE CT","WEST SACRAMENTO","95691","CA"
"10149  GATEMONT CIR","ELK GROVE","95624","CA"
"4753  RUSTIC RD","FAIR OAKS","95628","CA"
"2609  PINTER AVE","SOUTH LAKE TAHOE","96150","CA"
"6169  KOKANEE LN","POLLOCK PINES","95726","CA"
"151  GLENN DR","FOLSOM","95630","CA"
"1421  TALLAC LN","LINCOLN","95648","CA"
"4122  MARSEILLE CT","ELK GROVE","95758","CA"
"260  GROTH CIR","SACRAMENTO","95834","CA"
"8990  TWIN FALLS DR","SACRAMENTO","95826","CA"
"897  BRIERGLEN WAY","SACRAMENTO","95834","CA"
"1331  SIERRA OAK LN","COLFAX","95713","CA"
"8552  ZINNIA WAY","ELK GROVE","95624","CA"
"359  DRAGONFLY CIR","SACRAMENTO","95834","CA"
"11  FIG LEAF CT","SACRAMENTO","95838","CA"
"8395  SUMMER SKY DR","SACRAMENTO","95828","CA"
"5448  10TH AVE","SACRAMENTO","95820","CA"
"6180  KOKANEE LN","POLLOCK PINES","95726","CA"
"5385  YVETTE WAY","SACRAMENTO","95823","CA"
"2390  EDGEWATER RD","SACRAMENTO","95815","CA"
"8545  YELLOWTAIL WAY","ANTELOPE","95843","CA"
"8021  VANDENBERG DR","SACRAMENTO","95820","CA"
"5408  ENGLE RD","CARMICHAEL","95608","CA"
"2481  ROLAND RD","SACRAMENTO","95821","CA"
"1953  WRIGHT ST","SACRAMENTO","95825","CA"
"5520  WOODFOREST DR","SACRAMENTO","95842","CA"
"1939  IRIS AVE","SACRAMENTO","95815","CA"
"6417  CREEKBED LN","CITRUS HEIGHTS","95621","CA"
"4056  STEPHEN DR","NORTH HIGHLANDS","95660","CA"
"1675  VERNON ST Unit 28","ROSEVILLE","95678","CA"
"6528  JUNEAU WAY","NORTH HIGHLANDS","95660","CA"
"8310  JURGENS LN","CITRUS HEIGHTS","95610","CA"
"5852  ELMO DR","NORTH HIGHLANDS","95660","CA"
"7824  BELLINGRATH DR","ELVERTA","95626","CA"
"208  ARROWROCK RD","SACRAMENTO","95838","CA"
"3029  ESTEPA DR Unit E","CAMERON PARK","95682","CA"
"6273  LONGFORD DR","CITRUS HEIGHTS","95621","CA"
"4480  SAN SEBASTIAN WAY","SACRAMENTO","95823","CA"
"11510  GARNET WAY","AUBURN","95602","CA"
"232  BLAGDON CT","ROSEVILLE","95747","CA"
"5536  FRUITRIDGE RD","SACRAMENTO","95820","CA"
"250  SHARP CIR Unit 2","ROSEVILLE","95678","CA"
"4433  REDSTONE CT","GRANITE BAY","95746","CA"
"5150  STIRLING ST","GRANITE BAY","95746","CA"
"840  SAN RAMON WAY","SACRAMENTO","95864","CA"
"408  BASLOW CT","ROSEVILLE","95661","CA"
"1893  YERBA WAY","LINCOLN","95648","CA"
"10770  LEGO LN","GALT","95632","CA"
"3300  LAMBERTIANA LN","GEORGETOWN","95634","CA"
"7205  WELLS AVE","LOOMIS","95650","CA"
"225  SNOW WHISPER CT","ROSEVILLE","95747","CA"
"960  CICERI DR","PLACERVILLE","95667","CA"
"618  RUSCELLO CT","EL DORADO HILLS","95762","CA"
"181  OAK VIEW RD","NEWCASTLE","95658","CA"
"2500  MARINA POINT LN","ELK GROVE","95758","CA"
"5536  SHOOTING STAR RD","POLLOCK PINES","95726","CA"
"4590  MEADOW CREEK RD","PLACERVILLE","95667","CA"
"823  MORNINGSIDE DR","FOLSOM","95630","CA"
"232  MCRAE CT","ROSEVILLE","95678","CA"
"525  CASTILLIAN CT","ROSEVILLE","95747","CA"
"4551  MONET WAY","GRANITE BAY","95746","CA"
"11936  PERICLES DR","RANCHO CORDOVA","95742","CA"
"9424  TRIATHLON LN","ELK GROVE","95758","CA"
"2666  BROWN BEAR TRL","COOL","95614","CA"
"11229  GREENSTONE PL","GOLD RIVER","95670","CA"
"2918  TILBURY WAY","ROSEVILLE","95661","CA"
"3801  KIMBERLY RD","CAMERON PARK","95682","CA"
"1284  FRESWICK DR","FOLSOM","95630","CA"
"2820  BLACK HAWK LN","LINCOLN","95648","CA"
"8365  LOLLIPOP LN","ELK GROVE","95624","CA"
"230  GREG THATCH CIR","SACRAMENTO","95835","CA"
"4813  COPPOLA CIR","ELK GROVE","95757","CA"
"7818  MANORSIDE DR","SACRAMENTO","95832","CA"
"4534  JUNO WAY","SACRAMENTO","95864","CA"
"2236  MURATURA WAY","EL DORADO HILLS","95762","CA"
"5410  TARKENTON CT","ELK GROVE","95757","CA"
"10309  VILA REAL WAY","ELK GROVE","95757","CA"
"2226  RAILWAY CIR","GOLD RIVER","95670","CA"
"9527  SEA CLIFF WAY","ELK GROVE","95758","CA"
"3111  CLARKSON DR","ROCKLIN","95765","CA"
"10007  BRENTWOOD CIR","AUBURN","95603","CA"
"11572  MARISSA WAY","GOLD RIVER","95670","CA"
"12027  ERATO CIR","RANCHO CORDOVA","95742","CA"
"6029  KIFISIA WAY","FAIR OAKS","95628","CA"
"4008  HUNTER OAKS LN","LOOMIS","95650","CA"
"2450  FOUNTAIN HILL LOOP","LINCOLN","95648","CA"
"8366  ALEXIA CT","ELK GROVE","95624","CA"
"4921  LOTUS POND WAY","ELK GROVE","95757","CA"
"4021  AVELLANO DR","EL DORADO HILLS","95762","CA"
"9421  CLEMENTINE WAY","ELK GROVE","95758","CA"
"9829  SUMMER GLEN WAY","ELK GROVE","95757","CA"
"2991  FLORA SPRINGS WAY","SACRAMENTO","95834","CA"
"3562  C ST","SACRAMENTO","95816","CA"
"1383  SWEET JULIET LN","LINCOLN","95648","CA"
"1115  PARAGON LN","LINCOLN","95648","CA"
"6000  TRAVO WAY","ELK GROVE","95757","CA"
"2281  PEBBLESTONE LN","LINCOLN","95648","CA"
"2330  E ST","SACRAMENTO","95816","CA"
"8817  AMBERJACK WAY","SACRAMENTO","95828","CA"
"8817  AMBERJACK WAY","SACRAMENTO","95828","CA"
"332  ASPEN CT","ROSEVILLE","95678","CA"
"8557  SPRING AZURE WAY","ELK GROVE","95624","CA"
"993  MANTON CT","GALT","95632","CA"
"6905  MERCEDES AVE","CITRUS HEIGHTS","95621","CA"
"4749  FOSTER WAY","CARMICHAEL","95608","CA"
"6308  SEASTONE WAY","SACRAMENTO","95831","CA"
"907  FITZROY CT","ROSEVILLE","95747","CA"
"2065  MILAN WAY","ROSEVILLE","95678","CA"
"5720  RIVER BIRCH PL","ANTELOPE","95843","CA"
"7009  CHAROLAIS WAY","CITRUS HEIGHTS","95610","CA"
"8209  TERRALAND CT","CITRUS HEIGHTS","95610","CA"
"2  INGRAM CT","SACRAMENTO","95823","CA"
"4121  SAINT RAPHAEL CT","ELK GROVE","95758","CA"
"15040  LAGO DR","RANCHO MURIETA","95683","CA"
"5501  REXLEIGH CT","SACRAMENTO","95823","CA"
"3400  33RD ST","SACRAMENTO","95817","CA"
"8486  TRIMMER WAY","SACRAMENTO","95828","CA"
"5001  HOLYOKE WAY","SACRAMENTO","95841","CA"
"1300  ELM ST","ROSEVILLE","95678","CA"
"1348  POWDERHORN WAY","SACRAMENTO","95834","CA"
"102  RAWLINGS CT","FOLSOM","95630","CA"
"3135  ACTON WAY","ROSEVILLE","95747","CA"
"3332  HOGARTH DR","SACRAMENTO","95827","CA"
"4740  GREENHOLME DR Unit 1","SACRAMENTO","95842","CA"
"2452  JULLIARD CIR","ROSEVILLE","95661","CA"
"7034  PALM AVE","FAIR OAKS","95628","CA"
"6900  SANDY SOUZA WAY","ELK GROVE","95758","CA"
"1885  GRAEAGLE LN","LINCOLN","95648","CA"
"9146  COLONSAY WAY","SACRAMENTO","95829","CA"
"7326  GRANDBALL WAY","CITRUS HEIGHTS","95621","CA"
"5320  57TH ST","SACRAMENTO","95820","CA"
"71  TRENT CT","GALT","95632","CA"
"5217  MEADOWLAND WAY","ELK GROVE","95758","CA"
"781  SAO JORGE WAY","SACRAMENTO","95831","CA"
"141  MONTICELLO AVE","RIO LINDA","95673","CA"
"7526  29TH ST","SACRAMENTO","95822","CA"
"2221  CAPE CORAL CT","ELVERTA","95626","CA"
"7024  RATHMORE CT","ELK GROVE","95758","CA"
"9000  ALDERSON AVE","SACRAMENTO","95826","CA"
"7671  ROTHERTON WAY","SACRAMENTO","95823","CA"
"5600  NORWAY DR","ORANGEVALE","95662","CA"
"9439  SOARING OAKS DR","ELK GROVE","95758","CA"
"2313  PARK ESTATES DR","SACRAMENTO","95825","CA"
"8176  ROTHBURY WAY","SACRAMENTO","95829","CA"
"8709  BARRACUDA WAY","SACRAMENTO","95826","CA"
"2560  WRIGHT ST","SACRAMENTO","95821","CA"
"6153  JACK LONDON CIR","SACRAMENTO","95842","CA"
"8246  APPLE COVE CT","SACRAMENTO","95828","CA"
"3205  CASITAS BONITO","SACRAMENTO","95825","CA"
"4219  38TH ST","SACRAMENTO","95820","CA"
"104  VALENCIA AVE","ROSEVILLE","95678","CA"
"2508  MORETTI WAY","SACRAMENTO","95821","CA"
"4035  PEARL RD","POLLOCK PINES","95726","CA"
"8366  CHEVALIER WAY","SACRAMENTO","95828","CA"
"2147  FERRAN AVE","SACRAMENTO","95832","CA"
"7769  REENEL WAY","SACRAMENTO","95832","CA"
"5414  PARKVILLE CT","SACRAMENTO","95842","CA"
"1457  HOLLINGSWORTH DR","LINCOLN","95648","CA"
"4776  RAVENSTONE WAY","SACRAMENTO","95842","CA"
"6913  5TH PKWY","SACRAMENTO","95823","CA"
"3741  CENTINELLA DR","NORTH HIGHLANDS","95660","CA"
"5618  VICTORIA LN","CITRUS HEIGHTS","95610","CA"
"3747  EDISON AVE","SACRAMENTO","95821","CA"
"8253  SCENIC HILLS WAY","SACRAMENTO","95828","CA"
"9396  RIVER OAKS LN","ORANGEVALE","95662","CA"
"2509  WHITNEY BLVD","ROCKLIN","95677","CA"
"4501  ORINDA WAY","SACRAMENTO","95820","CA"
"6561  MISTY CREEK DR","CITRUS HEIGHTS","95621","CA"
"3328  BRANCH ST","SACRAMENTO","95838","CA"
"9685  GAGE ST","ELK GROVE","95624","CA"
"1454  LONDON ST","SACRAMENTO","95822","CA"
"1478  65TH AVE","SACRAMENTO","95822","CA"
"4301  35TH ST","SACRAMENTO","95820","CA"
"4246  OBERON AVE","NORTH HIGHLANDS","95660","CA"
"8152  CRYSTAL WALK CIR","ELK GROVE","95758","CA"
"103  ROUNDTREE CT","SACRAMENTO","95831","CA"
"5121  CHERBOURG DR","SACRAMENTO","95842","CA"
"7755  LEAVERITE WAY","SACRAMENTO","95828","CA"
"429  PATIO AVE","SACRAMENTO","95834","CA"
"1017  HARRIS AVE","SACRAMENTO","95838","CA"
"3968  12TH AVE","SACRAMENTO","95817","CA"
"437  CRYSTAL WAY","GALT","95632","CA"
"690  PLAZA AVE","SACRAMENTO","95815","CA"
"6212  PROVIDENCE WAY","NORTH HIGHLANDS","95660","CA"
"69  BRENTFORD CIR","SACRAMENTO","95823","CA"
"7803  WREN LN","CITRUS HEIGHTS","95610","CA"
"1634  DEL DAYO DR","CARMICHAEL","95608","CA"
"493  CROCKER RD","SACRAMENTO","95864","CA"
"6070  QUAIL CREEK LN","TAHOMA","96142","CA"
"1891  11TH AVE","SACRAMENTO","95818","CA"
"1745  STONE CANYON DR","ROSEVILLE","95661","CA"
"6831  FALLSBROOK CT","GRANITE BAY","95746","CA"
"4530  ASHTON DR","SACRAMENTO","95864","CA"
"3400  L ST","SACRAMENTO","95816","CA"
"3091  BLACK OAK DR","ROCKLIN","95765","CA"
"2240  PORTMARNOCK CIR","ROSEVILLE","95678","CA"
"1835  SUNNINGDALE DR","ROSEVILLE","95747","CA"
"1835  SUNNINGDALE DR","ROSEVILLE","95747","CA"
"3561  DEBINA WAY","RANCHO CORDOVA","95670","CA"
"105  OAK CANYON WAY","FOLSOM","95630","CA"
"1928  TYNDRUM LN","FOLSOM","95630","CA"
"531  LONGMEADOW LN","LINCOLN","95648","CA"
"6517  OSCAR CIR","ELK GROVE","95757","CA"
"212  MIKE GARTRELL CIR","SACRAMENTO","95835","CA"
"4181  SNOWS RD","PLACERVILLE","95667","CA"
"4933  VILLAGE GREEN DR","EL DORADO HILLS","95762","CA"
"1417  ALDER CREEK CT","LINCOLN","95648","CA"
"2681  LAND PARK DR","SACRAMENTO","95818","CA"
"58  36TH WAY","SACRAMENTO","95819","CA"
"10856  BIANCO WAY","RANCHO CORDOVA","95670","CA"
"7725  BRIARBERRY WAY","EL DORADO HILLS","95762","CA"
"3108  CLAIRIDGE WAY","SACRAMENTO","95821","CA"
"417  PLEASANT ST","ROSEVILLE","95678","CA"
"8300  WOODBOROUGH WAY","FAIR OAKS","95628","CA"
"2195  PALOMINO CT","FOLSOM","95630","CA"
"2811  AQUINO DR","SACRAMENTO","95833","CA"
"2400  E ST","SACRAMENTO","95816","CA"
"241  RUNNING WOLF CT","ROSEVILLE","95747","CA"
"10244  SHOECH WAY","ELK GROVE","95757","CA"
"12616  PRINCETON DR","AUBURN","95603","CA"
"10309  CHAVES CT","ELK GROVE","95757","CA"
"620  FISHER CIR","FOLSOM","95630","CA"
"4970  HELEN WAY","SACRAMENTO","95822","CA"
"2197  BUTTERFIELD LN","LINCOLN","95648","CA"
"1636  CAISLEAN WAY","FOLSOM","95630","CA"
"2559  SAN MARIN LN","SACRAMENTO","95835","CA"
"2306  COPPERVALE DR","ROCKLIN","95765","CA"
"7193  ARTISAN CIR","ROSEVILLE","95678","CA"
"2016  SAN ESTEBAN CIR","ROSEVILLE","95747","CA"
"1908  PRAIRIE VIEW LN","LINCOLN","95648","CA"
"5512  GROUSE CT","LOOMIS","95650","CA"
"352  CEDAR RIVER WAY","SACRAMENTO","95831","CA"
"9616  HERON POINT CT","ELK GROVE","95624","CA"
"871  55TH ST","SACRAMENTO","95819","CA"
"2615  LA CRESCENTA DR","RESCUE","95672","CA"
"9447  SYRAH CT","ELK GROVE","95624","CA"
"690  SOTANO DR","SACRAMENTO","95833","CA"
"101  CANDLEWOOD CT","LINCOLN","95648","CA"
"5741  BUCKS BAR RD","PLACERVILLE","95667","CA"
"13204  PEBBLE CT","AUBURN","95603","CA"
"4488  65TH ST","SACRAMENTO","95820","CA"
"7621  HENDON WAY","ELK GROVE","95758","CA"
"1123  COMMONS DR","SACRAMENTO","95825","CA"
"2  VISTAWOOD CT","SACRAMENTO","95831","CA"
"4000  DEER TRAIL WAY","SACRAMENTO","95823","CA"
"1535  AMERICAN RIVER TRL","COOL","95614","CA"
"2012  PERIDOT ST","ROSEVILLE","95678","CA"
"8192  DRAIS WAY","ELK GROVE","95624","CA"
"9436  WINDRIFT LN","ELK GROVE","95758","CA"
"9375  HAMBLEY CIR","ELK GROVE","95624","CA"
"2964  PLATTE WAY","SACRAMENTO","95835","CA"
"8801  FREED CT","SACRAMENTO","95828","CA"
"2620  WALNUT AVE","CARMICHAEL","95608","CA"
"5463  GRACEN WAY","SACRAMENTO","95835","CA"
"825  NAHANE DR","SOUTH LAKE TAHOE","96150","CA"
"2701  TIOGA WAY","SACRAMENTO","95821","CA"
"3720  GARNET RD","POLLOCK PINES","95726","CA"
"5624  KIVA DR","SACRAMENTO","95841","CA"
"3968  GARNET RD","POLLOCK PINES","95726","CA"
"5721  DEEPDALE WAY","ELK GROVE","95758","CA"
"411  LANDIS CIR","AUBURN","95603","CA"
"3975  DEER CROSS WAY","SACRAMENTO","95823","CA"
"560  FAIRGROUNDS DR","SACRAMENTO","95817","CA"
"8516  CORD WAY","SACRAMENTO","95828","CA"
"154  BIG VALLEY RD","FOLSOM","95630","CA"
"2111  STEPPING STONE LN","LINCOLN","95648","CA"
"8198  GRANDSTAFF DR","SACRAMENTO","95823","CA"
"3297  BALADA WAY","RANCHO CORDOVA","95670","CA"
"7969  LARWIN DR","CITRUS HEIGHTS","95610","CA"
"9409  HOLFORD WAY","SACRAMENTO","95829","CA"
"750  SHASTA OAKS CT","ROSEVILLE","95678","CA"
"4937  JUNIPER HILL PL","ANTELOPE","95843","CA"
"8444  OLD RANCH RD","ORANGEVALE","95662","CA"
"9139  PERSHING AVE","ORANGEVALE","95662","CA"
"480  THRELKEL ST","NEWCASTLE","95658","CA"
"4035  OAK ST","ROCKLIN","95677","CA"
"8614  HACKMORE CT","ANTELOPE","95843","CA"
"4071  LOUGANIS WAY","SACRAMENTO","95823","CA"
"2181  ROYAL OAKS DR","SACRAMENTO","95815","CA"
"4716  KENNETH AVE","CARMICHAEL","95608","CA"
"3437  CORBIN WAY","SACRAMENTO","95827","CA"
"1531  HESKET WAY","SACRAMENTO","95825","CA"
"501  GIBSON DR Unit 623","ROSEVILLE","95678","CA"
"6608  OAK LAKES LN","CITRUS HEIGHTS","95621","CA"
"72  TILLMAN CIR","SACRAMENTO","95823","CA"
"6758  SANDYLEE WAY","SACRAMENTO","95828","CA"
"270  HARTNELL PL","SACRAMENTO","95825","CA"
"9489  COUNTRY ROADS DR","SACRAMENTO","95827","CA"
"2400  CARLSBAD AVE","SACRAMENTO","95821","CA"
"3770  SHINING STAR DR","SACRAMENTO","95823","CA"
"2621  59TH ST","SACRAMENTO","95817","CA"
"7808  SAYBROOK DR","CITRUS HEIGHTS","95621","CA"
"7910  BETTY LOU DR","SACRAMENTO","95828","CA"
"8539  CAVENDISH WAY","SACRAMENTO","95828","CA"
"209  CINDY LN","GALT","95632","CA"
"6620  TOPAZ DR","POLLOCK PINES","95726","CA"
"3620  SAND RIDGE RD","PLACERVILLE","95667","CA"
"7813  GADSBY CT","ELK GROVE","95758","CA"
"4516  48TH ST","SACRAMENTO","95820","CA"
"6084  HAVEN DR","NORTH HIGHLANDS","95660","CA"
"4929  PONY EXPRESS TRL","CAMINO","95709","CA"
"2508  BRENTLEY DR","SACRAMENTO","95822","CA"
"2231  51ST AVE","SACRAMENTO","95822","CA"
"7611  LINDALE DR","SACRAMENTO","95828","CA"
"3616  40TH ST","SACRAMENTO","95817","CA"
"3232  DEL MAR WAY","SACRAMENTO","95815","CA"
"4941  79TH ST","SACRAMENTO","95820","CA"
"809  BELL AVE","SACRAMENTO","95838","CA"
"10867  WALNUTWOOD WAY","RANCHO CORDOVA","95670","CA"
"4440  SILVERTON WAY","SACRAMENTO","95838","CA"
"5210  PLANET PKWY","SACRAMENTO","95823","CA"
"4516  MYRTLE AVE","SACRAMENTO","95841","CA"
"6400  FRIDAY CIR","NORTH HIGHLANDS","95660","CA"
"167  VALLEY OAK DR","ROSEVILLE","95678","CA"
"5710  71ST ST","SACRAMENTO","95824","CA"
"604  HORIZON CV","ROCKLIN","95677","CA"
"609  JESSIE AVE","SACRAMENTO","95838","CA"
"6076  GEORGIA DR","NORTH HIGHLANDS","95660","CA"
"701  KESNER AVE","SACRAMENTO","95838","CA"
"3073  37TH ST","SACRAMENTO","95817","CA"
"501  GIBSON DR Unit 2612","ROSEVILLE","95678","CA"
"5828  CANARY DR","NORTH HIGHLANDS","95660","CA"
"2601  CLAY ST","SACRAMENTO","95815","CA"
"5410  18TH AVE","SACRAMENTO","95820","CA"
"159  QUASAR CIR","SACRAMENTO","95822","CA"
"6443  DONEGAL DR","CITRUS HEIGHTS","95621","CA"
"3843  ALMOND GROVE CT","ANTELOPE","95843","CA"
"7216  WILLOWRIVER CT","SACRAMENTO","95828","CA"
"1548  71ST AVE","SACRAMENTO","95832","CA"
"5920  LAKE BLVD","CARNELIAN BAY","96140","CA"
"2240  WHITE SANDS DR","SOUTH LAKE TAHOE","96150","CA"
"8440  BERG ST","GRANITE BAY","95746","CA"
"750  CORTLANDT DR","SACRAMENTO","95864","CA"
"5153  BISSETT WAY","SACRAMENTO","95835","CA"
"2209  CATALINA DR","SOUTH LAKE TAHOE","96150","CA"
"117  WOLF RIVER CT","ROSEVILLE","95661","CA"
"3701  BLACK OAK DR","ROCKLIN","95765","CA"
"3533  PARK DR","EL DORADO HILLS","95762","CA"
"4941  SUSAN HOLLOW CT","FAIR OAKS","95628","CA"
"2928  HIGHLAND AVE","SACRAMENTO","95818","CA"
"1540  ELK RAVINE WAY","ROSEVILLE","95661","CA"
"1944  LADERA DR","LINCOLN","95648","CA"
"1706  P ST","SACRAMENTO","95814","CA"
"1950  SAND RIDGE RD","EL DORADO","95623","CA"
"947  SOUTHBRIDGE CIR","LINCOLN","95648","CA"
"8920  BELFORD CT","ROSEVILLE","95747","CA"
"9999  INDIAN HILL RD","NEWCASTLE","95658","CA"
"4508  STEBBING CT","ROCKLIN","95677","CA"
"1850  VILLAGE Unit 413","OLYMPIC VALLEY","96146","CA"
"4327  RIO TINTO AVE","SACRAMENTO","95821","CA"
"7098  SINCLAIR DR","CAMERON PARK","95682","CA"
"14  VISTA ALEGRE CT","SACRAMENTO","95831","CA"
"9001  CAMDEN DR","ELK GROVE","95624","CA"
"158  THORNDIKE WAY","FOLSOM","95630","CA"
"151  MAHONIA CIR","SACRAMENTO","95835","CA"
"3900  IRONWOOD DR","EL DORADO HILLS","95762","CA"
"3628  WALKER PARK DR","EL DORADO HILLS","95762","CA"
"5921  PLEASANT VALLEY RD","EL DORADO","95623","CA"
"6851  BEECH AVE","ORANGEVALE","95662","CA"
"9733  SAGE THRASHER CIR","ELK GROVE","95757","CA"
"6509  CLEVELAND CT","ROCKLIN","95765","CA"
"9809  SUMMER GLEN WAY","ELK GROVE","95757","CA"
"2235  MEADOWLAND CT","LINCOLN","95648","CA"
"669  LINLEY LN","LINCOLN","95648","CA"
"7240  ASH RD","FAIR OAKS","95628","CA"
